name;reported;released
ZDI-16-171;2015-12-21;2016-02-18
ZDI-16-172;2015-12-21;2016-02-18
ZDI-16-197;2016-02-16;2016-03-10
ZDI-16-224;2016-03-16;2016-04-08
ZDI-16-243;2016-03-04;2016-04-15
ZDI-16-501;2016-06-22;2016-09-01
ZDI-16-524;2016-03-19;2016-09-21
ZDI-16-526;2016-03-19;2016-09-21
